t , It
0.0 , 0.200000000000000
0.0001 , 0.218230054928273
0.0002 , 0.235759405724953
0.00030000000000000003 , 0.252562477460390
0.0004 , 0.268615529378745
0.0005 , 0.283896676979687
0.0006000000000000001 , 0.298385910026178
0.0007 , 0.312065106499638
0.0008 , 0.324918042531704
0.0009000000000000001 , 0.336930398349544
0.001 , 0.348089760279195
0.0011 , 0.358385618858817
0.0012000000000000001 , 0.367809363120830
0.0013000000000000002 , 0.376354271108883
0.0014 , 0.384015496702258
0.0015 , 0.390790052826788
0.0016 , 0.396676791137547
0.0017000000000000001 , 0.401676378264535
0.0018000000000000002 , 0.405791268718218
0.0019 , 0.409025674557198
0.002 , 0.411385531925399
0.0021000000000000003 , 0.412878464570952
0.0022 , 0.413513744463523
0.0023 , 0.413302249630995
0.0024000000000000002 , 0.412256419340406
0.0025 , 0.410390206751574
0.0026000000000000003 , 0.407719029175219
0.0027 , 0.404259716070295
0.0028 , 0.400030454917990
0.0029000000000000002 , 0.395050735112149
0.003 , 0.389341290007935
0.0031000000000000003 , 0.382924037272260
0.0032 , 0.375822017680927
0.0033 , 0.368059332508500
0.0034000000000000002 , 0.359661079657717
0.0035 , 0.350653288675720
0.0036000000000000003 , 0.341062854804551
0.0037 , 0.330917472213207
0.0038 , 0.320245566558167
0.0039000000000000003 , 0.309076227018500
0.004 , 0.297439137950745
0.0041 , 0.285364510307388
0.004200000000000001 , 0.272883012961252
0.0043 , 0.260025704076259
0.0044 , 0.246823962662959
0.0045000000000000005 , 0.233309420454848
0.0046 , 0.219513894238968
0.0047 , 0.205469318771424
0.0048000000000000004 , 0.191207680405437
0.0049 , 0.176760951556295
0.005 , 0.162161026124093
0.0051 , 0.147439655991533
0.005200000000000001 , 0.132628388710153
0.0053 , 0.117758506484403
0.0054 , 0.102860966558758
0.0055000000000000005 , 0.0879663431087547
0.0056 , 0.0731047707323289
0.0057 , 0.0583058896332552
0.0058000000000000005 , 0.0435987925837358
0.0059 , 0.0290119737483584
0.006 , 0.0145732794466972
0.0061 , 0.000309860926819807
0.006200000000000001 , -0.0137518707831523
0.0063 , -0.0275862878834293
0.0064 , -0.0411685866141102
0.006500000000000001 , -0.0544748258183872
0.0066 , -0.0674819632111599
0.0067 , -0.0801678893121309
0.0068000000000000005 , -0.0925114590077569
0.006900000000000001 , -0.104492520711752
0.007 , -0.116091943099120
0.0071 , -0.127291639393978
0.007200000000000001 , -0.138074589196657
0.0073 , -0.148424857840763
0.0074 , -0.158327613276023
0.007500000000000001 , -0.167769140477796
0.0076 , -0.176736853389149
0.0077 , -0.185219304406292
0.0078000000000000005 , -0.193206191423014
0.0079 , -0.200688362454448
0.008 , -0.207657817865168
0.0081 , -0.214107710231045
0.0082 , -0.220032341868737
0.0083 , -0.225427160070883
0.008400000000000001 , -0.230288750089201
0.0085 , -0.234614825911657
0.0086 , -0.238404218883664
0.008700000000000001 , -0.241656864226965
0.0088 , -0.244373785513310
0.0089 , -0.246557077153414
0.009000000000000001 , -0.248209884964805
0.0091 , -0.249336384885193
0.0092 , -0.249941759900785
0.009300000000000001 , -0.250032175261609
0.0094 , -0.249614752058356
0.0095 , -0.248697539237514
0.009600000000000001 , -0.247289484133644
0.0097 , -0.245400401599526
0.0098 , -0.243040941816609
0.0099 , -0.240222556869696
0.01 , -0.236957466171117
0.010100000000000001 , -0.233258620820743
0.0102 , -0.229139666989160
0.0103 , -0.224614908412035
0.010400000000000001 , -0.219699268084252
0.0105 , -0.214408249242804
0.0106 , -0.208757895727549
0.010700000000000001 , -0.202764751808978
0.0108 , -0.196445821571940
0.0109 , -0.189818527943900
0.011000000000000001 , -0.182900671455795
0.0111 , -0.175710388822818
0.0112 , -0.168266111431602
0.011300000000000001 , -0.160586523819231
0.0114 , -0.152690522228326
0.0115 , -0.144597173321078
0.011600000000000001 , -0.136325673133624
0.0117 , -0.127895306350516
0.0118 , -0.119325405977247
0.0119 , -0.110635313486897
0.012 , -0.101844339514900
0.012100000000000001 , -0.0929717251738084
0.0122 , -0.0840366040576216
0.0123 , -0.0750579650028788
0.012400000000000001 , -0.0660546156712299
0.0125 , -0.0570451470156100
0.0126 , -0.0480478986894748
0.012700000000000001 , -0.0390809254558005
0.0128 , -0.0301619646497231
0.0129 , -0.0213084047457866
0.013000000000000001 , -0.0125372550778208
0.0131 , -0.00386511675644131
0.0132 , 0.00469184517389675
0.013300000000000001 , 0.0131179282994581
0.0134 , 0.0213979180877199
0.0135 , 0.0295171117912785
0.013600000000000001 , 0.0374613409758404
0.0137 , 0.0452169926461721
0.013800000000000002 , 0.0527710289471001
0.013900000000000001 , 0.0601110054198540
0.014 , 0.0672250877972586
0.014100000000000001 , 0.0741020673244765
0.0142 , 0.0807313745951707
0.0143 , 0.0871030918961197
0.014400000000000001 , 0.0932079640564247
0.0145 , 0.0990374078005448
0.0146 , 0.104583519607432
0.014700000000000001 , 0.109839082081033
0.0148 , 0.114797568840364
0.0149 , 0.119453147940258
0.015000000000000001 , 0.123800683836684
0.0151 , 0.127835737913311
0.0152 , 0.131554567588648
0.015300000000000001 , 0.134954124025713
0.0154 , 0.138032048468685
0.0155 , 0.140786667233433
0.015600000000000001 , 0.143216985381180
0.015700000000000002 , 0.145322679106778
0.0158 , 0.147104086875262
0.0159 , 0.148562199342384
0.016 , 0.149698648096812
0.0161 , 0.150515693263490
0.0162 , 0.151016210009450
0.016300000000000002 , 0.151203673994980
0.0164 , 0.151082145814565
0.0165 , 0.150656254473474
0.0166 , 0.149931179947137
0.0167 , 0.148912634871652
