t , Vt
0 , -15
0.0001 , -15.428571428571429
0.0002 , -15.821574344023324
0.00030000000000000003 , -16.178545447333452
0.0004 , -16.499099386161717
0.0005 , -16.782928798934144
0.0006000000000000001 , -17.029804199342205
0.0007000000000000001 , -17.23957370301303
0.0008000000000000001 , -17.412162598411452
0.0009000000000000002 , -17.547572764333133
0.0010000000000000002 , -17.64588193663855
0.0011000000000000003 , -17.707242827160165
0.0012000000000000003 , -17.73188209798873
0.0013000000000000004 , -17.72009919460943
0.0014000000000000004 , -17.672265041613446
0.0015000000000000005 , -17.58882060495563
0.0016000000000000005 , -17.47027532496335
0.0017000000000000006 , -17.317205424525493
0.0018000000000000006 , -17.130252097102982
0.0019000000000000006 , -16.910119579403332
0.0020000000000000005 , -16.657573113751017
0.0021000000000000003 , -16.373436805362566
0.0022 , -16.058591379900204
0.0023 , -15.713971846830205
0.0024 , -15.340565074251694
0.0024999999999999996 , -14.939407280988384
0.0025999999999999994 , -14.511581451849374
0.0026999999999999993 , -14.058214682065737
0.002799999999999999 , -13.580475456996911
0.002899999999999999 , -13.079570873275006
0.0029999999999999988 , -12.556743807615879
0.0030999999999999986 , -12.013270039573335
0.0031999999999999984 , -11.450455334547033
0.0032999999999999982 , -10.869632493375649
0.003399999999999998 , -10.27215837485479
0.003499999999999998 , -9.659410897514018
0.0035999999999999977 , -9.032786026969319
0.0036999999999999976 , -8.393694755136673
0.0037999999999999974 , -7.743560077549094
0.0038999999999999972 , -7.083813974963949
0.0039999999999999975 , -6.415894405379689
0.004099999999999998 , -5.741242312501578
0.004199999999999998 , -5.061298656604957
0.004299999999999998 , -4.3775014736421705
0.0043999999999999985 , -3.6912829683260187
0.004499999999999999 , -3.004066646798607
0.004599999999999999 , -2.3172644943603027
0.004699999999999999 , -1.6322742035893831
0.0048 , -0.9504764580293648
0.0049 , -0.2732322764582933
0.005 , 0.3981195774171181
0.0051 , 1.0622651151792595
0.005200000000000001 , 1.7179175693535043
0.005300000000000001 , 2.363819760217205
0.005400000000000001 , 2.9987463796844818
0.005500000000000001 , 3.6215061883955713
0.005600000000000002 , 4.2309441223535025
0.005700000000000002 , 4.825943305670297
0.005800000000000002 , 5.4054269662092365
0.0059000000000000025 , 5.968360251138535
0.006000000000000003 , 6.513751939644415
0.006100000000000003 , 7.040656050287699
0.006200000000000003 , 7.54817334072699
0.0063000000000000035 , 8.03545269777286
0.006400000000000004 , 8.50169241598066
0.006500000000000004 , 8.94614136323414
0.006600000000000004 , 9.36810003201738
0.0067000000000000046 , 9.766921475318297
0.006800000000000005 , 10.142012126352432
0.006900000000000005 , 10.492832501540626
0.007000000000000005 , 10.818897786417761
0.007100000000000006 , 11.119778304391811
0.007200000000000006 , 11.395099868512249
0.007300000000000006 , 11.6445440166441
0.007400000000000006 , 11.86784813067814
0.007500000000000007 , 12.064805440638365
0.007600000000000007 , 12.235264914774536
0.007700000000000007 , 12.379131036950007
0.0078000000000000074 , 12.49636347285248
0.007900000000000008 , 12.586976626767747
0.008000000000000007 , 12.651039090863208
0.008100000000000007 , 12.688672989128786
0.008200000000000006 , 12.700053218317423
0.008300000000000005 , 12.68540658841518
0.008400000000000005 , 12.645010865351974
0.008500000000000004 , 12.579193718837631
0.008600000000000003 , 12.488331578374098
0.008700000000000003 , 12.37284840065299
0.008800000000000002 , 12.233214351697962
0.008900000000000002 , 12.069944407253326
0.009000000000000001 , 11.883596875053904
0.0091 , 11.674771842735863
0.0092 , 11.444109555264248
0.0093 , 11.19228872585985
0.009399999999999999 , 10.920024784505848
0.009499999999999998 , 10.628068068203165
0.009599999999999997 , 10.317201957222677
0.009699999999999997 , 9.988240961672162
0.009799999999999996 , 9.64202876275613
0.009899999999999996 , 9.279436213157483
0.009999999999999995 , 8.901359301011155
0.010099999999999994 , 8.50871708197164
0.010199999999999994 , 8.102449583898546
0.010299999999999993 , 7.683515688697103
0.010399999999999993 , 7.252890995853979
0.010499999999999992 , 6.811565672202856
0.010599999999999991 , 6.3605422924391535
0.01069999999999999 , 5.900833674879107
0.01079999999999999 , 5.433460716925321
0.01089999999999999 , 4.959450234659003
0.010999999999999989 , 4.47983281092857
0.011099999999999988 , 3.995640656245375
0.011199999999999988 , 3.5079054867300905
0.011299999999999987 , 3.017656423278088
0.011399999999999987 , 2.525917916029142
0.011499999999999986 , 2.033707698136249
0.011599999999999985 , 1.5420347727304933
0.011699999999999985 , 1.05189743687405
0.011799999999999984 , 0.5642813461818026
0.011899999999999984 , 0.0801576236740083
0.011999999999999983 , -0.399518983701754
0.012099999999999982 , -0.8738118975711449
0.012199999999999982 , -1.3418044464834713
0.012299999999999981 , -1.8026015470799996
0.01239999999999998 , -2.2553313251938127
0.01249999999999998 , -2.699146674144922
0.01259999999999998 , -3.133226747648582
0.012699999999999979 , -3.556778384912788
0.012799999999999978 , -3.969037465662411
0.012899999999999977 , -4.369270192991978
0.012999999999999977 , -4.756774302116383
0.013099999999999976 , -5.130880193258412
0.013199999999999976 , -5.490951987083595
0.013299999999999975 , -5.836388501266055
0.013399999999999974 , -6.166624146943513
0.013499999999999974 , -6.481129743994907
0.013599999999999973 , -6.779413254249903
0.013699999999999973 , -7.061020431915566
0.013799999999999972 , -7.325535390681184
0.013899999999999971 , -7.57258108713744
0.01399999999999997 , -7.8018197203203625
0.01409999999999997 , -8.012953047363474
0.01419999999999997 , -8.205722615412917
0.014299999999999969 , -8.379909910129753
0.014399999999999968 , -8.53533642127079
0.014499999999999968 , -8.671863626003809
0.014599999999999967 , -8.789392890774737
